PRICE,DATE,QUARTER,MONTH,YEAR,NEIGHBORHOOD,CLUSTER,WARD,LOTSIZE,FLOORSPACE,AGE,BEDROOM,BATHROOM,HALFBATHROOM,FLOOR,HEAT,AC,FIREPLACE,BTYPE,CBD,METRO,POPU,SCHOOL,INCOME,VCRIMES,PCRIMES,FORE,BLACK,WHITE,HIS,ASIAN,POVERTY,UNEM,TEENMUM,VACANCY,OWNER,VOLUMN,MPRICE,FEMALEHEADED,LOWWEIGHT,SUBPRIME
358,30/06/2009,6,18,"2,009",KALORAMA,1,1,226,535,86,1,1,0,1,0,1,0,4,3193.29,807.574,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
547,18/08/2009,7,20,"2,009",KALORAMA,1,1,253,567,86,1,1,0,1,0,1,0,4,3193.29,807.574,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
410,10/06/2009,6,18,"2,009",KALORAMA,1,1,226,535,86,1,1,0,1,0,1,0,4,3193.29,807.574,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
528,09/06/2009,6,18,"2,009",KALORAMA,1,1,272,596,86,1,1,0,1,0,1,0,4,3193.29,807.574,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
555,09/06/2009,6,18,"2,009",KALORAMA,1,1,253,567,86,1,1,0,1,0,1,0,4,3193.29,807.574,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
466,19/05/2009,6,17,"2,009",KALORAMA,1,1,239,529,86,1,1,0,1,0,1,0,4,3193.29,807.574,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
477,12/05/2009,6,17,"2,009",KALORAMA,1,1,253,567,86,1,1,0,1,0,1,0,4,3193.29,807.574,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
543,10/08/2009,7,20,"2,009",KALORAMA,1,1,271,617,86,1,1,0,1,0,1,0,4,3193.29,807.574,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
528,04/08/2009,7,20,"2,009",KALORAMA,1,1,272,596,86,1,1,0,1,0,1,0,4,3193.29,807.574,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
635,28/07/2009,7,19,"2,009",KALORAMA,1,1,253,567,86,1,1,0,1,0,1,0,4,3193.29,807.574,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
