Sample,PRICE,DATE,NEIGHBORHOOD,N_CAH,N_CE,N_OC1,N_OC2,N_RSW,CLUSTER,WARD,OUTLIER 3s,LOTSIZE,FLOORSPACE,AGE,BEDROOM,BATHROOM,HALFBATHROOM,FLOOR,HEAT,AC,FIREPLACE,BTYPE,CBD,METRO,POPU,SCHOOL,INCOME,VCRIMES,PCRIMES,FORE,BLACK,WHITE,HIS,ASIAN,POVERTY,UNEM,TEENMUM,VACANCY,OWNER,VOLUMN,MPRICE,FEMALEHEADED,LOWWEIGHT,SUBPRIME
0.7956696045,348,11/09/2008,OLD CITY I,0,0,1,0,0,25,6,,684,628,54,1,1,0,1,1,1,0,4,4115.30,352.94,29295,7.58,126277,16,60,6.1,43,49,4.3,3.2,13,6.5,7.2,3.9,57,211,477000,40,10,11
0.7957711081,345,10/02/2009,R.L.A. SW,0,0,0,0,1,9,6,,341,740,42,1,1,0,1,0,1,0,4,1502.94,388.63,11588,7.31,83289,10,34,13,56,33,5.2,5.2,20,10,13,1,39,10,650000,63,16,5.4
0.7981321111,294,14/05/2009,CENTRAL,0,1,0,0,0,5,6,,95,890,5,1,1,0,1,1,1,0,4,1158.89,424.39,16160,6.48,203276,3.6,24,20,6.7,75,5.7,12,27,3.2,2.6,13,39,7,0,18,6,0.7
0.7984792554,414,10/12/2009,OLD CITY II,0,0,0,1,0,7,6,,13,1008,1,1,2,0,1,0,1,0,4,1266.51,465.73,23895,7.00,104622,11,49,21,29,48,15,7.8,16,6.3,9.8,7,34,25,559000,44,9.2,4.1
0.7984841415,497,29/04/2008,OLD CITY I,0,0,1,0,0,25,6,,616,566,80,1,1,0,1,0,1,0,4,3752.43,884.17,29295,7.58,126277,16,60,6.1,43,49,4.3,3.2,13,6.5,7.2,3.9,57,211,477000,40,10,11
0.7988608754,511,24/09/2008,OLD CITY II,0,0,0,1,0,7,6,,11,891,0,1,1,0,1,0,1,0,4,1266.51,465.73,23895,7.00,104622,11,54,21,29,48,15,7.8,16,6.3,9.8,7,34,37,567000,44,9.2,4.1
0.8017108809,545,28/02/2008,OLD CITY II,0,0,0,1,0,7,6,,127,789,1,1,1,0,1,0,1,0,4,1411.07,437.72,23895,7.00,104622,11,54,21,29,48,15,7.8,16,6.3,9.8,7,34,37,567000,44,9.2,4.1
0.8017581272,630,21/04/2009,OLD CITY I,0,0,1,0,0,25,6,,668,786,135,1,1,0,1,0,1,0,4,1497.04,642.90,29295,7.58,126277,15,56,6.1,43,49,4.3,3.2,13,6.5,7.2,3.9,57,219,475000,40,10,11
0.8028142422,601,20/08/2009,OLD CITY II,0,0,0,1,0,7,6,,83,666,3,1,1,1,1,0,1,0,4,1302.24,481.03,23895,7.00,104622,11,49,21,29,48,15,7.8,16,6.3,9.8,7,34,25,559000,44,9.2,4.1
0.8033472901,445,17/10/2008,R.L.A. SW,0,0,0,0,1,9,6,,409,521,41,1,1,0,1,0,1,0,4,2220.13,118.87,11588,7.31,83289,13,37,13,56,33,5.2,5.2,20,10,13,1,39,15,658000,63,16,5.4
0.803983663,272,09/06/2009,OLD CITY I,0,0,1,0,0,25,6,,1017,1070,109,1,1,0,0,0,1,0,4,1024.44,481.65,29295,7.58,126277,15,56,6.1,43,49,4.3,3.2,13,6.5,7.2,3.9,57,219,475000,40,10,11
0.8045974691,456,26/08/2009,OLD CITY I,0,0,1,0,0,25,6,,35,832,2,1,2,0,1,1,1,0,4,3925.28,100.31,29295,7.58,126277,15,56,6.1,43,49,4.3,3.2,13,6.5,7.2,3.9,57,219,475000,40,10,11
0.8051053616,346,03/11/2008,OLD CITY I,0,0,1,0,0,25,6,,708,650,54,1,1,0,1,1,1,0,4,4115.30,352.94,29295,7.58,126277,16,60,6.1,43,49,4.3,3.2,13,6.5,7.2,3.9,57,211,477000,40,10,11
0.8076926561,555,12/06/2008,OLD CITY II,0,0,0,1,0,7,6,,65,479,1,1,1,0,1,0,1,0,4,2489.07,623.80,23895,7.00,104622,11,54,21,29,48,15,7.8,16,6.3,9.8,7,34,37,567000,44,9.2,4.1
0.8082857537,508,16/06/2009,OLD CITY II,0,0,0,1,0,7,6,,93,670,2,1,1,0,1,0,1,0,4,2489.07,623.80,23895,7.00,104622,11,49,21,29,48,15,7.8,16,6.3,9.8,7,34,25,559000,44,9.2,4.1
0.810626804,461,18/09/2009,R.L.A. SW,0,0,0,0,1,9,6,,325,672,4,1,1,0,1,0,1,0,4,1332.63,586.76,11588,7.31,83289,10,34,13,56,33,5.2,5.2,20,10,13,1,39,10,650000,63,16,5.4
0.8131879914,432,29/09/2008,CENTRAL,0,1,0,0,0,5,6,,95,950,4,1,1,0,1,1,1,0,4,1158.89,424.39,16160,6.48,203276,3.1,28,20,6.7,75,5.7,12,27,3.2,2.6,13,39,3,0,18,6,0.7
0.8138553968,420,07/12/2009,OLD CITY II,0,0,0,1,0,7,6,,205,476,109,1,1,0,1,1,1,1,4,3021.32,285.98,23895,7.00,104622,11,49,21,29,48,15,7.8,16,6.3,9.8,7,34,25,559000,44,9.2,4.1
0.8151142806,558,10/11/2009,OLD CITY II,0,0,0,1,0,7,6,,9,747,1,1,1,0,1,0,1,0,4,1266.51,465.73,23895,7.00,104622,11,49,21,29,48,15,7.8,16,6.3,9.8,7,34,25,559000,44,9.2,4.1
0.815522108,649,18/01/2008,OLD CITY II,0,0,0,1,0,7,6,,65,479,1,1,1,0,1,0,1,0,4,2489.07,623.80,23895,7.00,104622,11,54,21,29,48,15,7.8,16,6.3,9.8,7,34,37,567000,44,9.2,4.1
0.8157449083,561,29/09/2009,OLD CITY II,0,0,0,1,0,7,6,,8,700,1,1,1,0,1,0,1,0,4,1266.51,465.73,23895,7.00,104622,11,49,21,29,48,15,7.8,16,6.3,9.8,7,34,25,559000,44,9.2,4.1
0.817777502,473,21/08/2008,OLD CITY II,0,0,0,1,0,7,6,,106,655,1,1,1,0,1,0,1,0,4,1427.39,459.90,23895,7.00,104622,11,54,21,29,48,15,7.8,16,6.3,9.8,7,34,37,567000,44,9.2,4.1
